timestamp,open,high,low,close,volume
2024-06-03 04:00:00+00:00,192.9,194.99,192.52,194.03,50080539
2024-06-04 04:00:00+00:00,194.635,195.32,193.0342,194.35,47471445
2024-06-05 04:00:00+00:00,195.4,196.9,194.87,195.87,54156785
2024-06-06 04:00:00+00:00,195.685,196.5,194.17,194.48,41181753
2024-06-07 04:00:00+00:00,194.65,196.94,194.14,196.89,53103912
2024-06-10 04:00:00+00:00,196.9,197.3,192.15,193.12,97262077
2024-06-11 04:00:00+00:00,193.65,207.16,193.63,207.15,172460296
2024-06-12 04:00:00+00:00,207.37,220.2,206.9,213.07,198134293
2024-06-13 04:00:00+00:00,214.74,216.75,211.6,214.24,97862729
2024-06-14 04:00:00+00:00,213.85,215.17,211.3,212.49,70122748
2024-06-17 04:00:00+00:00,213.37,218.95,212.72,216.67,93728300
